side,entry_time,entry_price,sltp,partial_taken,exit_time,exit_price,result,pnl_pct,equity_curve
LONG,2025-06-09 21:05:00,663.2,"TradeExit(trailing_stop=661.5445031165727, sl=663.2, tp=666.5040000000001, sl_pct=0.003558504221954182, tp_pct=0.004981905910735855, partial_tp=665.5600000000001, partial_size=0.5)",True,2025-06-10 08:00:00,663.2,LOSS,,
LONG,2025-06-10 16:00:00,661.84,"TradeExit(trailing_stop=659.5875523801084, sl=661.84, tp=667.3840000000001, sl_pct=0.00598331923123419, tp_pct=0.008376646923727865, partial_tp=665.8000000000001, partial_size=0.5)",False,2025-06-10 18:50:00,666.46,PARTIAL_50,0.3490269551553249,3.1974524464900598
LONG,2025-06-10 16:00:00,661.84,"TradeExit(trailing_stop=659.5875523801084, sl=661.84, tp=667.3840000000001, sl_pct=0.00598331923123419, tp_pct=0.008376646923727865, partial_tp=665.8000000000001, partial_size=0.5)",True,2025-06-10 19:20:00,667.3840000000001,WIN,,
LONG,2025-06-10 20:05:00,669.37,"TradeExit(trailing_stop=667.42050399424, sl=666.46, tp=673.444, sl_pct=0.0043473714089367135, tp_pct=0.006086319972511398, partial_tp=672.28, partial_size=0.5)",False,2025-06-11 11:35:00,666.46,LOSS,,
LONG,2025-06-11 12:30:00,669.27,"TradeExit(trailing_stop=667.1517625327447, sl=665.71, tp=674.2539999999999, sl_pct=0.0053192284130469695, tp_pct=0.007446919778265757, partial_tp=672.8299999999999, partial_size=0.5)",False,2025-06-11 20:00:00,665.71,LOSS,,
SHORT,2025-06-11 21:25:00,667.45,"TradeExit(trailing_stop=668.7719603704872, sl=667.45, tp=665.07, sl_pct=0.002547007266461805, tp_pct=0.0035658101730465267, partial_tp=665.7500000000001, partial_size=0.5)",False,2025-06-11 21:35:00,665.04,PARTIAL_50,0.18053786800510013,3.3779903144951597
SHORT,2025-06-11 21:25:00,667.45,"TradeExit(trailing_stop=668.7719603704872, sl=667.45, tp=665.07, sl_pct=0.002547007266461805, tp_pct=0.0035658101730465267, partial_tp=665.7500000000001, partial_size=0.5)",True,2025-06-11 21:35:00,665.07,WIN,,
LONG,2025-06-12 08:45:00,668.07,"TradeExit(trailing_stop=666.5465410645684, sl=666.07, tp=670.8700000000001, sl_pct=0.0029936982651518553, tp_pct=0.004191177571212597, partial_tp=670.07, partial_size=0.5)",False,2025-06-12 11:05:00,666.07,LOSS,,
SHORT,2025-06-12 12:50:00,661.92,"TradeExit(trailing_stop=664.0501352855612, sl=665.0099999999999, tp=657.5939999999999, sl_pct=0.00466823785351709, tp_pct=0.0065355329949239255, partial_tp=658.83, partial_size=0.5)",False,2025-06-12 17:00:00,665.0099999999999,LOSS,,
SHORT,2025-06-12 18:05:00,665.16,"TradeExit(trailing_stop=666.6280707988218, sl=665.16, tp=662.864, sl_pct=0.0024655721931565134, tp_pct=0.0034518010704191185, partial_tp=663.52, partial_size=0.5)",False,2025-06-12 18:25:00,663.39,PARTIAL_50,0.13305069456972624,3.511041009064886
