volume,atr_5,volume_ma_5,alt_btc_ratio,candle_range,rsi_7_prev,ema_14_prev,high,ema_7_prev,low,ema_14,volume_slope,lower_wick,body_size,ema_divergence,timestamp,binary_label
15921899.4,0.000474,21341812.14000001,3.22211226475597e-07,0.0003500099999999,51.86971610688372,0.0284248131532144,0.02941,0.0286702928126385,0.02906,0.0285228380661191,58964.300000000745,0.0,9.99999999999994e-05,0.0002698815433597,2025-03-05 20:00:00+00:00,0
12712098.3,0.000452,16646055.680000016,3.21540064046886e-07,0.0004600099999999,68.5866659829366,0.0285228380661191,0.02939,0.0287927196094789,0.02893,0.0285944596573032,-3209801.1,0.0001299999999999,9.99999999999994e-05,0.0002650800498059,2025-03-05 21:00:00+00:00,0
11830253.6,0.0003939999999999,14688172.680000016,3.2250054339738455e-07,0.0003600099999999,89.91067752317099,0.0285944596573032,0.02928,0.0288595397071091,0.02892,0.0286711983696628,-881844.7000000011,0.0001399999999999,0.00011,0.000265956410669,2025-03-05 22:00:00+00:00,0
17474008.3,0.0003839999999999,14760238.940000016,3.192944927163221e-07,0.00041001,92.18245877178596,0.0286711983696628,0.02927,0.0289371547803318,0.02886,0.0287057052537077,5643754.700000001,7.000000000000062e-05,0.00025,0.0002296608315411,2025-03-05 23:00:00+00:00,0
15355172.7,0.0004139999999999,14658686.460000014,3.183916192484892e-07,0.00049001,74.99613990456373,0.0287057052537077,0.02912,0.0289353660852489,0.02863,0.0287009445532134,-2118835.600000001,4.000000000000184e-05,0.0002699999999999,0.0001680800107232,2025-03-06 00:00:00+00:00,1
14725299.0,0.0005039999999999,14419366.380000016,3.1859098660962414e-07,0.0008000099999999,50.41030684175295,0.0287009445532134,0.02937,0.0288690245639366,0.02857,0.0287421519461182,-629873.6999999993,0.0001099999999999,0.00033,0.0001621164768342,2025-03-06 01:00:00+00:00,0
13898955.6,0.000474,14656737.840000017,3.178233782076417e-07,0.00031001,54.54256213685645,0.0287421519461182,0.02925,0.0289042684229525,0.02894,0.0288005316866358,-826343.4000000004,4.999999999999796e-05,0.00019,0.0001726696305785,2025-03-06 02:00:00+00:00,0
10735763.4,0.000456,14437839.800000016,3.193056798967655e-07,0.0002700099999999,54.54256213685645,0.0288005316866358,0.02937,0.0289732013172143,0.0291,0.0288604607950844,-3163192.2,8.99999999999998e-05,6.000000000000103e-05,0.0001819401928263,2025-03-06 03:00:00+00:00,0
17662377.6,0.0004959999999999,14475513.660000017,3.2052028742803057e-07,0.0006100099999999,53.4854697807097,0.0288604607950844,0.02965,0.0290424009879107,0.02904,0.0289563993557398,6926614.200000001,0.00021,0.0003299999999999,0.0002204013851932,2025-03-06 04:00:00+00:00,0
17926394.3,0.0004699999999999,14989757.980000012,3.1874750776327026e-07,0.0003600099999999,67.1021729262468,0.0289563993557398,0.0298,0.029176800740933,0.02944,0.0290368794416411,264016.69999999925,0.0001199999999999,1.9999999999999185e-05,0.0002357211140586,2025-03-06 05:00:00+00:00,0
