atr_5,volume_ma_5,volume,candle_range,alt_btc_ratio,upper_wick,ema_14_slope,ema_14_prev,rsi_7,lower_wick_ratio,ema_divergence_slope,upper_wick_ratio,ema_divergence,lower_wick,body_to_range,timestamp,binary_label
0.0224,1282653.9020000002,1088320.96,0.01800001,1.1566203664642672e-05,0.01,-0.0022605678843372,1.0519542591325286,22.03387216320236,0.0555555246913813,-2.9082202346764063e-05,0.5555552469137517,-0.0078247409881393,0.0010000000000001,0.38888867283962,2024-11-15 17:00:00+00:00,1
0.0228,1168150.796,691022.97,0.0150000100000001,1.1623485436913838e-05,0.0030000000000001,-0.0014258254997587,1.0496936912481911,20.68963020217045,0.5333329777780109,0.0007085879347457,0.1999998666667614,-0.0071161530533936,0.008,0.2666664888890054,2024-11-15 18:00:00+00:00,1
0.022,1100970.0840000005,946842.92,0.02400001,1.167320901162884e-05,0.0050000000000001,0.0008976179002089,1.0482678657484326,41.79100111387937,0.1249999479166837,0.0025644539260312,0.2083332465278185,-0.0045516991273624,0.0029999999999998,0.6666663888890045,2024-11-15 19:00:00+00:00,1
0.0222,1023533.9520000004,1255877.05,0.0270000100000001,1.1831863317265182e-05,0.0,0.0043779355135145,1.0491654836486417,58.510594726152846,0.0370370233196249,0.0049686183561656,0.0,0.0004169192288032,0.0010000000000001,0.9629626063101416,2024-11-15 20:00:00+00:00,0
0.0196,1057506.9740000002,1305470.97,0.01400001,1.1834799721375e-05,0.006,0.0041942107783792,1.053543419162156,78.37830423673924,0.3571426020410064,0.003565704623881,0.4285711224491982,0.0039826238526843,0.0050000000000001,0.2142855612245912,2024-11-15 21:00:00+00:00,0
0.0182,981591.678,708744.48,0.0110000099999998,1.1950706078414175e-05,0.0049999999999998,0.0043016493412619,1.0577376299405352,99.99988888901234,0.0,0.002768287210433,0.4545450413226842,0.0067509110631174,0.0,0.5454540495872332,2024-11-15 22:00:00+00:00,0
0.017,939331.502,479722.09,0.0090000100000001,1.1951831920333132e-05,0.004,0.0034614294290937,1.0620392792817972,96.92297254449112,0.3333329629633827,0.0013410229846775,0.4444439506178271,0.0080919340477949,0.0030000000000001,0.2222219753089135,2024-11-15 23:00:00+00:00,1
0.015,868349.7300000002,591934.06,0.01400001,1.2e-05,0.0049999999999998,0.0035332388385478,1.065500708710891,96.7212004838683,0.4285711224491982,0.0010686004717805,0.3571426020409906,0.0091605345195755,0.006,0.214285561224607,2024-11-16 00:00:00+00:00,1
0.0136,962577.9640000004,1727018.22,0.02000001,1.2142560232523456e-05,0.004,0.0051954736600747,1.0690339475494388,97.26018070941576,0.0,0.0022559058226716,0.19999990000005,0.0114164403422472,0.0,0.7999996000002,2024-11-16 01:00:00+00:00,1
0.014,889331.2400000002,939237.35,0.01600001,1.219838534950945e-05,0.0070000000000001,0.0054360771720649,1.0742294212095136,96.87489404308464,0.1249999218750488,0.0019024574399948,0.4374997265626777,0.013318897782242,0.002,0.4374997265626639,2024-11-16 02:00:00+00:00,1
0.015,925938.2840000002,891779.7,0.01600001,1.232849285654248e-05,0.002,0.0060446002157894,1.0796654983815783,95.74453825281536,0.3749997656251464,0.0019593007432554,0.1249999218750488,0.0152781985254975,0.006,0.4999996875001952,2024-11-16 03:00:00+00:00,1
0.0211999999999999,1264388.468,2171973.01,0.0400000099999998,1.2589064343266642e-05,0.0149999999999999,0.0084386535203508,1.085710098597368,97.0587236160198,0.0249999937499989,0.0035642721989328,0.3749999062500227,0.0188424707244303,0.0009999999999998,0.5999998500000409,2024-11-16 04:00:00+00:00,0
0.0221999999999999,1411478.0960000004,1327382.2,0.0190000099999999,1.2479428100650748e-05,0.008,0.0061134997176375,1.094148752117719,84.72213985347499,0.0526315512465464,0.000638694571825,0.4210524099724182,0.0194811652962554,0.0009999999999998,0.5263155124655228,2024-11-16 05:00:00+00:00,1
