atr_5,candle_range,volume,ema_divergence,ema_14_slope,volume_ma_5,alt_btc_ratio,body_size,upper_wick,ema_14,rsi_7,ema_7_prev,upper_wick_ratio,high,volume_slope,timestamp,binary_label
0.0269999999999999,0.02800001,120218.6,-0.0149645893184722,-0.0057330582857759,136300.28999999963,3.2545528703131955e-05,0.0219999999999997,0.0030000000000001,2.7542648788575463,8.823520328728804,2.746733719385432,0.1071428188775686,2.742,-9108.649999999994,2025-04-03 09:00:00+00:00,1
0.0333999999999999,0.0570000099999999,276196.52,-0.0208210111889011,-0.0109686505143393,171461.60199999964,3.210766256817321e-05,0.044,0.0089999999999998,2.743296228343207,5.999995800002765,2.739300289539074,0.1578947091412774,2.725,155977.92,2025-04-03 10:00:00+00:00,0
0.0339999999999999,0.03600001,291414.33,-0.0223003183650503,-0.0076394971124273,202338.1059999996,3.232405502983838e-05,0.0139999999999997,0.0030000000000001,2.73565673123078,17.54384887658381,2.722475217154306,0.0833333101851947,2.689,15217.809999999998,2025-04-03 11:00:00+00:00,0
0.0467999999999999,0.0900000099999998,683182.3,-0.0312685240840449,-0.0166208974974373,300067.79999999964,3.186125624869889e-05,0.0739999999999998,0.0099999999999997,2.7190358337333422,11.363631844009902,2.7133564128657293,0.1111110987654312,2.695,391767.97,2025-04-03 12:00:00+00:00,0
0.0541999999999999,0.06000001,339548.17,-0.0301055736652569,-0.0076047778311121,342111.98399999965,3.231618681620976e-05,0.052,0.0030000000000001,2.71143105590223,33.3333223787202,2.6877673096492973,0.0499999916666699,2.665,-343634.13000000006,2025-04-03 13:00:00+00:00,0
0.0587999999999999,0.0510000099999997,612408.46,-0.0324294701042027,-0.0112574741202973,440549.95599999966,3.222047784918805e-05,0.0340000000000002,0.0099999999999997,2.700173581781933,26.859496362955483,2.681325482236973,0.1960783929258022,2.671,272860.29,2025-04-03 14:00:00+00:00,0
0.0583999999999998,0.0550000099999997,268446.62,-0.0274923537860445,-0.0036231442375909,438999.9759999997,3.258194151072212e-05,0.0470000000000001,0.0059999999999997,2.696550437544342,38.54165729890274,2.66774411167773,0.1090908892561985,2.679,-343961.84,2025-04-03 15:00:00+00:00,0
0.0575999999999998,0.03200001,110184.13,-0.0254668163863738,-0.0055400583392453,402753.9359999997,3.244509141816945e-05,0.0180000000000002,0.0089999999999998,2.691010379205097,39.08449740875058,2.6690580837582973,0.281249912109399,2.682,-158262.49,2025-04-03 16:00:00+00:00,0
0.0435999999999999,0.0180000099999997,59882.86,-0.0221346565303752,-0.0034680505606794,278094.04799999966,3.256751404527508e-05,0.008,0.0099999999999997,2.687542328644417,48.594363848974,2.6655435628187227,0.5555552469137461,2.675,-50301.27,2025-04-03 17:00:00+00:00,0
0.0403999999999999,0.04400001,95406.89,-0.016897597406297,-0.0003389771525887,229265.79199999967,3.2700255573505856e-05,0.02,0.0150000000000001,2.6872033514918283,49.803907896966486,2.665407672114042,0.3409090134297722,2.7,35524.03,2025-04-03 18:00:00+00:00,0
0.0339999999999999,0.0190000100000001,67940.23,-0.0117635890621023,0.0010395531344227,120372.14599999967,3.286236704154559e-05,0.0089999999999998,0.0090000000000003,2.688242904626251,72.10523659280743,2.670305754085532,0.4736839612189825,2.704,-27466.660000000003,2025-04-03 19:00:00+00:00,0
0.0302,0.03600001,118851.32,-0.0051176973363058,0.0042342793831666,90453.08599999968,3.302414076831392e-05,0.024,0.0099999999999997,2.6924771840094177,67.68289794022647,2.6764793155641486,0.2777777006172992,2.73,50911.09000000001,2025-04-03 20:00:00+00:00,0
0.031,0.03600001,132282.49,0.0024060555300051,0.0071363754654112,94872.75799999968,3.3197312202466374e-05,0.0259999999999998,0.008,2.699613559474829,88.38705685745809,2.687359486673112,0.2222221604938443,2.754,13431.169999999984,2025-04-03 21:00:00+00:00,0
0.0309999999999999,0.0200000099999995,139365.37,0.0061662930421069,0.0049848587366896,110769.25999999967,3.307814297347488e-05,0.008,0.0069999999999996,2.7045984182115186,77.11859831947552,2.702019615004834,0.3499998250000786,2.752,7082.880000000005,2025-04-03 22:00:00+00:00,0
