atr_5,candle_range,ema_14_prev,alt_btc_ratio,ema_divergence,volume_ma_5,ema_14_slope,low,high,volume,volume_slope,body_size,ema_7_slope,rsi_7,body_to_range,timestamp,binary_label
0.0077399999999999,0.01241001,0.2369314728000694,2.789011848737962e-06,-0.0001546720495601,18608689.2,0.0012158036266574,0.23663,0.24904,29748171.0,16301059.0,0.00894,0.0026857985409444,61.51058763235021,0.7203862043624462,2025-03-07 05:00:00+00:00,0
0.0065439999999999,0.0065400099999999,0.2381472764267268,2.7650481139911778e-06,0.0005551470463784,18430185.2,0.0007670298097697,0.24356,0.2501,27404493.0,-2343678.0,0.0021499999999999,0.0014768489057083,57.67028409120479,0.3287456747008014,2025-03-07 06:00:00+00:00,0
0.0063519999999999,0.0039100099999999,0.2389143062364966,2.79295532471048e-06,0.0013363578905258,18131447.8,0.0010514258351337,0.24318,0.24709,12198380.0,-15206113.0,0.0028799999999999,0.0018326366792812,83.07918045896406,0.7365710062122593,2025-03-07 07:00:00+00:00,0
0.0070639999999999,0.00650001,0.2399657320716303,2.832091789378196e-06,0.0022032663428708,20772827.0,0.0013725690571159,0.24578,0.25228,21065979.0,8867599.0,0.0033999999999999,0.0022394775094609,78.44700803515717,0.5230761183444308,2025-03-07 08:00:00+00:00,0
0.00692,0.00524001,0.2413383011287463,2.8439163106898733e-06,0.0030036479587994,23004942.2,0.0015442265161671,0.25005,0.25529,24607688.0,3541709.0,0.00267,0.0023446081320956,83.30793687478928,0.5095410123263112,2025-03-07 09:00:00+00:00,0
0.00519,0.0037600099999999,0.2428825276449134,2.839573666250669e-06,0.0034879410771929,20510792.2,0.0014116629806782,0.25062,0.25438,17277421.0,-7330267.0,0.0005899999999999,0.0018959560990717,91.31638157727345,0.1569144762912815,2025-03-07 10:00:00+00:00,0
0.004602,0.0036000099999999,0.2442941906255916,2.8356594403135725e-06,0.0035476335682423,17638188.8,0.0010647745832544,0.2506,0.2542,13041476.0,-4235945.0,0.0012099999999999,0.0011244670743038,84.7066882111643,0.3361101774717269,2025-03-07 11:00:00+00:00,0
0.00533,0.00755001,0.2453589652088461,2.810744793468652e-06,0.0032371792351497,19711169.6,0.0006588046388205,0.24694,0.25449,22563284.0,9521808.0,0.0019899999999999,0.0003483503057278,64.27102088841778,0.2635758098333633,2025-03-07 12:00:00+00:00,0
0.005726,0.00848001,0.2460177698476666,2.838696562263633e-06,0.0032459779441345,21622394.6,0.0009349640203111,0.24952,0.258,30622104.0,8058820.0,0.0027599999999999,0.0009437627292959,79.50836680118462,0.325471314302693,2025-03-07 13:00:00+00:00,1
0.006068,0.00695001,0.2469527338679777,2.788013454998267e-06,0.0030408311735035,23699497.2,0.0006929688176029,0.24946,0.25641,34993201.0,4371097.0,0.0009,0.0004878220469719,69.8881121064799,0.1294962165522074,2025-03-07 14:00:00+00:00,1
0.007426,0.01055001,0.2476457026855807,2.758145420215856e-06,0.0018529580668098,26246279.4,-0.0004887603580774,0.24257,0.25312,30011332.0,-4981869.0,0.0081699999999999,-0.001676633464771,32.70912501989247,0.7744068489034589,2025-03-07 15:00:00+00:00,1
0.009008,0.01151001,0.2471569423275033,2.7269276916532444e-06,0.0003085752785653,29682932.0,-0.0012355923103337,0.23481,0.24632,30224739.0,213407.0,0.00608,-0.0027799750985782,15.192169363044982,0.5282358573102883,2025-03-07 16:00:00+00:00,0
0.00834,0.00421001,0.2459213500171695,2.7247226153231544e-06,-0.0005853927097457,28645633.8,-0.0009335133356226,0.2372,0.24141,17376793.0,-12847946.0,0.001,-0.0018274813239337,17.03664736903859,0.2375291270091986,2025-03-07 17:00:00+00:00,0
0.007708,0.00532001,0.2449878366815469,2.7455902420754283e-06,-0.0006441254784897,24971911.8,-0.0002343782242062,0.23842,0.24374,12253494.0,-5123299.0,0.00425,-0.0002931109929502,32.036433404115144,0.7988706788145113,2025-03-07 18:00:00+00:00,1
0.007692,0.0068700099999999,0.2447534584573406,2.7205616937352607e-06,-0.0011636642622237,20506258.8,-0.0007777944609787,0.23783,0.2447,12664936.0,411442.0,0.00432,-0.0012973332447127,29.32405331817825,0.6288200453856728,2025-03-07 19:00:00+00:00,0
0.00692,0.00669001,0.2439756639963619,2.75602119471576e-06,-0.0013669089962433,17487796.0,-0.0005647551995149,0.23643,0.24312,14919018.0,2254082.0,0.0008299999999999,-0.0007679999335345,24.053038511804232,0.1240655843563757,2025-03-07 20:00:00+00:00,1
0.006232,0.0080700099999999,0.243410908796847,2.723292679352272e-06,-0.001999454440148,17467768.2,-0.0011134545062462,0.23222,0.24029,30124600.0,15205582.0,0.00465,-0.0017459999501509,20.94520686281949,0.5762074644269362,2025-03-07 21:00:00+00:00,0
0.006276,0.00443001,0.2422974542906007,2.715425588635215e-06,-0.002286793830681,18416416.2,-0.0008996605720801,0.23162,0.23605,22120033.0,-8004567.0,0.00051,-0.0011869999626131,30.60275461606897,0.1151238936255242,2025-03-07 22:00:00+00:00,0
0.0061319999999999,0.0046000099999999,0.2413977937185206,2.679093451456912e-06,-0.0027473379735049,17980763.2,-0.001179705829136,0.23121,0.23581,10075229.0,-12044804.0,0.0030099999999999,-0.0016402499719598,35.67583168947337,0.6543464035947725,2025-03-07 23:00:00+00:00,0
0.005606,0.00424001,0.2402180878893846,2.707352283261921e-06,-0.0026926137338902,17497396.6,-0.0007224117185845,0.23073,0.23497,10248103.0,172874.0,0.00227,-0.0006676874789699,39.62725206910155,0.5353760958110972,2025-03-08 00:00:00+00:00,1
0.005702,0.0071700099999999,0.2394956761708,2.680069063720189e-06,-0.0030374558536776,17242893.8,-0.0011634234894399,0.22864,0.23581,13646504.0,3398401.0,0.0040399999999999,-0.0015082656092274,18.1817531806578,0.5634580704908358,2025-03-08 01:00:00+00:00,0
0.00459,0.00251001,0.23833225268136,2.6633731023336105e-06,-0.0033050213697502,11935806.2,-0.0011736336908479,0.22901,0.23152,3589162.0,-10057342.0,0.0012599999999999,-0.0014411992069205,21.56259785694442,0.5019900319122144,2025-03-08 02:00:00+00:00,0
